        apple    banana    cream    dream    jumpout    thehouse    total
a       0        0         0        0        0          1           1
aint    0        0         0        0        0          5           5
am      1        1         1        1        0          0           4
as      1        1         1        0        0          0           3
bags    0        0         0        0        0          6           6
bout    0        0         0        0        0          4           4
car     0        0         0        0        0          1           1
drive   0        0         0        0        0          5           5
even    0        0         0        0        0          5           5
fast    0        0         0        0        0          1           1
file    1        1         1        1        0          0           4
fit     0        0         0        0        0          3           3
four    0        0         0        1        0          0           1
god     0        0         1        0        0          0           1
got     0        0         0        0        0          3           3
hope    1        0         0        0        0          0           1
house   0        0         0        0        15         0           15
i       1        2         1        1        1          8           14
im      0        0         0        0        0          4           4
is      0        0         0        1        0          0           1
it      0        0         0        0        0          5           5
its     0        0         0        0        0          1           1
jump    0        0         0        0        26         0           26
let     0        0         1        0        0          0           1
lets    1        0         0        0        0          0           1
mileage 0        0         0        0        0          1           1
my      0        0         0        0        0          4           4
no      0        0         0        0        0          1           1
not     0        0         0        0        0          1           1
one     1        0         0        0        0          0           1
out     0        0         0        0        26         0           26
please  0        0         1        0        0          0           1
racks   0        0         0        0        0          4           4
really  0        1         0        0        0          0           1
silent  0        0         0        0        0          1           1
srt     0        0         0        0        0          2           2
talkin  0        0         0        0        0          4           4
test    0        0         0        1        0          0           1
that    0        0         0        0        11         0           11
the     0        0         0        0        15         0           15
them    0        0         0        0        0          2           2
this    2        2         2        2        0          0           8
to      0        1         0        1        0          0           2
two     0        1         0        0        0          0           1
typing  0        0         0        1        0          0           1
using   1        1         1        0        0          0           3
want    0        1         0        0        0          0           1
what    0        0         0        0        15         9           24
with    0        0         0        0        0          1           1
work    0        1         1        0        0          0           2
works   1        0         0        0        0          0           1
yeah    0        0         0        0        0          2           2
